year,breau,location_type,count
113,八德區,三岔路,2922
113,八德區,四岔路,2507
113,八德區,多岔路,214
113,八德區,其他,4
113,八德區,坡路,11
113,八德區,直路,3200
113,八德區,涵洞,5
113,八德區,圓環,2
113,八德區,彎曲路及附近,210
113,大園區,三岔路,875
113,大園區,四岔路,1002
113,大園區,多岔路,102
113,大園區,其他,18
113,大園區,坡路,6
113,大園區,直路,1333
113,大園區,高架道路,7
113,大園區,彎曲路及附近,173
113,大溪區,三岔路,873
113,大溪區,四岔路,648
113,大溪區,多岔路,140
113,大溪區,其他,4
113,大溪區,坡路,32
113,大溪區,直路,992
113,大溪區,高架道路,13
113,大溪區,涵洞,2
113,大溪區,橋樑,13
113,大溪區,隧道,3
113,大溪區,彎曲路及附近,325
113,中壢區,三岔路,5165
113,中壢區,四岔路,7609
113,中壢區,地下道,80
113,中壢區,多岔路,626
113,中壢區,其他,37
113,中壢區,坡路,5
113,中壢區,直路,8075
113,中壢區,高架道路,6
113,中壢區,涵洞,19
113,中壢區,圓環,64
113,中壢區,橋樑,4
113,中壢區,隧道,2
113,中壢區,彎曲路及附近,356
113,平鎮區,三岔路,2299
113,平鎮區,四岔路,2312
113,平鎮區,地下道,17
113,平鎮區,多岔路,298
113,平鎮區,其他,65
113,平鎮區,坡路,29
113,平鎮區,直路,2401
113,平鎮區,高架道路,13
113,平鎮區,涵洞,2
113,平鎮區,圓環,3
113,平鎮區,橋樑,12
113,平鎮區,彎曲路及附近,198
113,桃園區,三岔路,4190
113,桃園區,四岔路,6718
113,桃園區,地下道,14
113,桃園區,多岔路,372
113,桃園區,其他,29
113,桃園區,坡路,37
113,桃園區,直路,5729
113,桃園區,高架道路,2
113,桃園區,涵洞,12
113,桃園區,圓環,6
113,桃園區,橋樑,34
113,桃園區,隧道,2
113,桃園區,彎曲路及附近,213
113,復興區,三岔路,6
113,復興區,四岔路,2
113,復興區,多岔路,2
113,復興區,坡路,13
113,復興區,直路,53
113,復興區,彎曲路及附近,82
113,新屋區,三岔路,375
113,新屋區,四岔路,433
113,新屋區,多岔路,42
113,新屋區,其他,4
113,新屋區,直路,712
113,新屋區,彎曲路及附近,83
113,楊梅區,三岔路,1553
113,楊梅區,四岔路,1314
113,楊梅區,地下道,2
113,楊梅區,多岔路,225
113,楊梅區,其他,10
113,楊梅區,坡路,26
113,楊梅區,直路,2105
113,楊梅區,高架道路,8
113,楊梅區,涵洞,8
113,楊梅區,橋樑,3
113,楊梅區,隧道,3
113,楊梅區,彎曲路及附近,226
113,龍潭區,三岔路,953
113,龍潭區,四岔路,813
113,龍潭區,多岔路,101
113,龍潭區,坡路,36
113,龍潭區,直路,1859
113,龍潭區,涵洞,2
113,龍潭區,圓環,2
113,龍潭區,彎曲路及附近,138
113,龜山區,三岔路,2438
113,龜山區,四岔路,2022
113,龜山區,多岔路,209
113,龜山區,其他,8
113,龜山區,坡路,157
113,龜山區,直路,3532
113,龜山區,涵洞,2
113,龜山區,圓環,10
113,龜山區,橋樑,19
113,龜山區,隧道,5
113,龜山區,彎曲路及附近,438
113,蘆竹區,三岔路,1441
113,蘆竹區,四岔路,1784
113,蘆竹區,多岔路,252
113,蘆竹區,其他,16
113,蘆竹區,坡路,29
113,蘆竹區,直路,2777
113,蘆竹區,高架道路,4
113,蘆竹區,圓環,2
113,蘆竹區,橋樑,15
113,蘆竹區,彎曲路及附近,291
113,觀音區,三岔路,469
113,觀音區,四岔路,922
113,觀音區,多岔路,63
113,觀音區,直路,869
113,觀音區,高架道路,4
113,觀音區,彎曲路及附近,160
